koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
CONFIRMED,16.3297527,177.29506,0.7909999999999999,6.271,1187.5,3.75,727,66.08,74.6,5878,4.444,0.987,288.51001,41.301769,15.447000000000001
CONFIRMED,27.80756622,186.713552,0.782,4.21587,25391.0,13.84,554,22.24,748.1,5862,4.584,0.785,296.88821,41.396091,15.482000000000001
CONFIRMED,80.87234690000001,203.895,0.527,11.195,3604.6,7.59,452,9.88,160.9,5510,4.2219999999999995,1.238,287.1543,41.565788,15.200999999999999
CONFIRMED,24.99324319,138.68167,0.6859999999999999,5.9409,269.6,2.29,712,60.88,62.0,5718,4.181,1.317,287.36279,38.649601000000004,12.377
CONFIRMED,10.35533116,170.93729,0.028999999999999998,3.1775,750.6,2.47,777,86.22,49.2,5501,4.462,0.9179999999999999,288.9942,41.633282,15.017999999999999
CONFIRMED,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613,33.43,62.6,5239,4.523,0.826,292.10519,42.380322,15.219000000000001
CONFIRMED,36.27612379999999,201.2869,0.035,4.7865,1572.6,3.03,445,9.29,45.5,5103,4.562,0.787,291.63898,42.436321,15.599
CONFIRMED,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568,24.6,22.6,5103,4.562,0.787,291.63898,42.436321,15.599
CONFIRMED,56.0560754,201.16578,0.018000000000000002,4.685,1626.0,1.94,233,0.69,27.4,3593,4.757,0.491,289.50847999999996,41.812119,15.849
CONFIRMED,41.40831669,195.78745,0.377,5.0264,22839.0,11.38,453,9.93,907.8,5522,4.586,0.747,291.76041000000004,41.944069,15.196
CONFIRMED,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669,47.4,355.7,5626,3.907,2.057,294.55917,46.062328,12.654000000000002
FALSE POSITIVE,13.61014819,173.98731899999999,1.081,2.594,5732.9,19.02,733,68.29,184.1,5697,4.46,0.903,289.89777000000004,42.009151,15.06
FALSE POSITIVE,10.44331991,175.4046,0.23,2.7430000000000003,1159.8,2.66,667,46.94,51.7,4947,4.516,0.802,286.24356,42.148811,15.546
CONFIRMED,2.237489571,170.81914,0.128,1.8119,315.8,1.41,1160,427.17,30.7,5265,4.58,0.81,290.00757000000004,42.116459000000006,15.001
FALSE POSITIVE,5.851520671,173.8228336,0.21100000000000002,3.11058,33004.0,14.62,901,155.89,1630.4,5532,4.53,0.8059999999999999,284.08731,42.233230999999996,15.33
CONFIRMED,3.1678934180000002,172.14795900000001,0.026000000000000002,2.1814,781.2,2.62,1221,526.23,64.8,5895,4.503,0.94,293.81647000000004,42.212502,15.533
CONFIRMED,4.311780262,173.576483,0.196,2.7251,1154.0,3.11,1038,274.84,86.1,5527,4.484,0.927,287.24268,42.301369,15.604000000000001
CONFIRMED,20.050449399999998,188.08821,0.38299999999999995,4.556,840.9,2.69,622,35.44,37.8,5527,4.484,0.927,287.24268,42.301369,15.604000000000001
CONFIRMED,9.76734503,186.57718,0.9,1.6585,569.1,2.67,791,92.46,21.1,5527,4.484,0.927,287.24268,42.301369,15.604000000000001
FALSE POSITIVE,2.8611598939999996,171.648106,0.965,1.8832,1014.3,4.37,1355,797.1,58.3,6126,4.458,1.021,291.67172,42.343109000000005,15.618
CONFIRMED,26.44439337,194.12073999999998,0.03,3.9783,1843.5,3.91,562,23.54,88.0,5427,4.463,0.929,292.87338,42.966141,15.158
CONFIRMED,51.53997972,174.055011,0.183,6.3994,3644.3,5.51,450,9.67,155.5,5427,4.463,0.929,292.87338,42.966141,15.158
CONFIRMED,5.9022457820000005,136.78393,0.209,2.9003,702.3,2.43,926,173.74,59.3,5427,4.463,0.929,292.87338,42.966141,15.158
CONFIRMED,2.382951591,135.080841,0.479,1.8876,391.6,1.86,1253,583.01,41.4,5427,4.463,0.929,292.87338,42.966141,15.158
CONFIRMED,21.02250608,207.67593,0.036000000000000004,4.1072,1772.5,3.07,521,17.48,62.4,5067,4.585,0.75,294.90972999999997,42.935261,15.859000000000002
CONFIRMED,3.219814777,133.00406,0.06,2.0642,488.2,1.69,998,234.93,30.5,5103,4.562,0.787,291.63898,42.436321,15.599
FALSE POSITIVE,12.94066866,179.423014,0.897,2.4845,42450.0,22.94,723,64.64,307.5,5875,4.572,0.809,291.11969,42.507069,15.215
CONFIRMED,33.60123371,186.680343,0.67,4.4056,7425.9,8.46,495,14.22,247.9,5149,4.447,0.93,289.26874,42.604172,15.262
CONFIRMED,4.601811819,169.98108,0.5670000000000001,2.2607,755.9,2.35,896,152.91,60.8,4986,4.496,0.833,296.48343,42.663429,15.024000000000001
CONFIRMED,11.18719905,137.17813999999998,0.387,3.252,353.6,1.55,667,46.65,21.9,4986,4.496,0.833,296.48343,42.663429,15.024000000000001
CONFIRMED,5.95489993,170.955871,0.327,2.3892,1410.7,2.33,635,38.52,87.2,4261,4.641,0.633,293.63696,42.82497,15.019
CONFIRMED,12.03987488,181.22536000000002,0.28600000000000003,2.7363,1250.6,2.18,502,15.06,57.6,4261,4.641,0.633,293.63696,42.82497,15.019
CONFIRMED,20.83762895,132.08488,0.706,2.3734,439.0,1.42,418,7.24,14.9,4261,4.641,0.633,293.63696,42.82497,15.019
FALSE POSITIVE,8.8111022,136.4568,1.2229999999999999,5.0683,401.1,63.66,1399,904.92,76.8,6200,3.8,2.404,294.46088,38.383461,12.759
CONFIRMED,23.58917143,173.81994,0.9259999999999999,5.073,1200.7,3.16,487,13.34,53.3,4919,4.566,0.721,297.46002000000004,42.83992,15.315999999999999
CONFIRMED,6.481633072999999,122.97765700000001,0.833,3.784,298.5,2.54,1145,406.25,125.6,5945,4.213,1.3019999999999998,290.39273,40.28487,12.365
CONFIRMED,10.37168928,172.61729,0.537,3.035,1254.9,3.2,720,63.68,64.5,5121,4.457,0.888,290.39322000000004,43.363898999999996,15.193
CONFIRMED,226.8904775,207.35971,0.731,7.558,3136.4,4.53,236,0.73,46.8,5067,4.585,0.75,294.90972999999997,42.935261,15.859000000000002
FALSE POSITIVE,1.956811408,170.694208,1.091,2.1958,24905.0,21.58,1109,357.16,125.4,5209,4.657,0.603,295.83536000000004,42.943062,15.533
CONFIRMED,9.439459486,177.186096,0.049,2.8979,3036.1,4.16,686,52.32,175.2,5097,4.5969999999999995,0.779,288.64252,43.039291,15.067
CONFIRMED,11.52306746,131.969055,0.0,3.8757,507.3,3.13,927,174.81,142.0,5644,4.162,1.411,284.48245,44.398041,12.345999999999998
CONFIRMED,20.47748843,178.66786000000002,0.49700000000000005,2.8364,1382.4,2.92,530,18.65,52.7,5097,4.5969999999999995,0.779,288.64252,43.039291,15.067
CONFIRMED,3.336123113,135.31623000000002,0.252,1.9616,516.3,1.74,970,209.79,41.6,5097,4.5969999999999995,0.779,288.64252,43.039291,15.067
CONFIRMED,8.01078456,170.20739,0.192,2.312,1333.6,1.72,453,9.9,48.5,3713,4.779,0.47,294.77393,43.056301,15.847000000000001
CONFIRMED,12.07134205,143.45948,0.013999999999999999,4.3224,759.2,1.29,395,5.74,31.0,3713,4.779,0.47,294.77393,43.056301,15.847000000000001
CONFIRMED,20.99587872,152.31554,0.228,2.6333,767.3,1.3,328,2.74,18.2,3713,4.779,0.47,294.77393,43.056301,15.847000000000001
FALSE POSITIVE,1.0007470379999999,169.974229,0.9079999999999999,0.9967,1823.5,4.14,1620,1635.2,147.4,5472,4.499,0.79,297.97513,43.164909,15.419
CONFIRMED,8.884922995,169.99168600000002,0.069,2.07004,16053.0,10.51,770,83.21,388.2,5332,4.5,0.843,291.1376,36.577381,15.264000000000001
CONFIRMED,8.09888906,176.623731,0.018000000000000002,4.2024099999999995,6911.1,8.95,986,223.19,435.9,6214,4.442,1.0759999999999998,282.69952,43.272739,15.261
CONFIRMED,10.00653012,176.96898000000002,0.862,5.343999999999999,936.1,3.52,876,139.21,71.9,6063,4.47,1.001,283.63077000000004,43.379397999999995,15.062999999999999
CONFIRMED,17.85522168,146.596466,0.075,7.41287,9065.2,13.16,911,163.04,915.7,6823,4.308,1.367,297.45374,41.01099,11.353
CONFIRMED,5.007316661,173.433997,0.344,4.2362,6932.3,6.96,998,234.28,431.4,5865,4.563,0.8270000000000001,295.53612999999996,43.884449,15.812999999999999
CONFIRMED,2.211116989,170.150139,0.69,1.6485,724.2,1.85,931,177.19,42.6,4500,4.656000000000001,0.6459999999999999,285.16832999999997,44.026459,15.790999999999999
CONFIRMED,27.9541337,178.73791,0.063,3.95,942.5,1.9,400,6.04,25.4,4500,4.656000000000001,0.6459999999999999,285.16832999999997,44.026459,15.790999999999999
CONFIRMED,12.69104387,137.12593999999999,0.008,3.7727,252.1,2.57,1008,244.3,60.2,5869,4.024,1.626,292.92914,48.60281,12.935
FALSE POSITIVE,4.409409243,171.89433,0.027999999999999997,3.8636,12861.0,10.95,1101,347.06,85.8,5600,4.368,0.975,296.41019,43.455391,15.402999999999999
CONFIRMED,16.23947096,175.569907,0.043,4.0374,2590.7,4.14,598,30.14,123.8,5191,4.564,0.8370000000000001,293.0614,43.58136,15.258
CONFIRMED,2.052349884,169.890622,0.43700000000000006,2.0778,14281.0,13.12,1497,1183.18,1072.1,5855,4.393,1.08,299.56189,43.503559,15.257
CONFIRMED,9.770448599999998,175.71372,0.09,2.4517,1897.8,2.23,460,10.59,58.0,3906,4.73,0.509,282.23251,43.66563,15.777000000000001
CONFIRMED,5.169804269,172.63153,0.35100000000000003,2.153,1037.4,1.66,569,24.75,41.4,3906,4.73,0.509,282.23251,43.66563,15.777000000000001
CONFIRMED,21.22261195,137.57403,0.02,6.5093,366.0,2.48,771,83.56,114.9,5945,4.213,1.3019999999999998,290.39273,40.28487,12.365
CONFIRMED,20.09017037,147.97788,0.8859999999999999,4.154,1432.1,2.25,362,4.05,36.9,3906,4.73,0.509,282.23251,43.66563,15.777000000000001
CONFIRMED,7.11373257,174.32351,0.33399999999999996,2.1764,807.6,1.16,429,8.01,44.4,3561,4.855,0.41100000000000003,296.98505,43.65852,15.234000000000002
CONFIRMED,3.306551643,134.37211000000002,0.001,1.8177,509.2,0.91,554,22.19,37.8,3561,4.855,0.41100000000000003,296.98505,43.65852,15.234000000000002
